CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
341453,"enter sc ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for A RUIZ CONSTRUCTION","A RUIZ CONSTRUCTION"
341448,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
341446,"enter sc ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for RUIZ CONSTRUCTION","RUIZ CONSTRUCTION"
341427,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341417,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341416,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
341406,"CSR request to cancel. ","311 Service Request Queue","311 External Request",Graffiti,NULL
341402,"See 341440  ","311 Service Request Queue","311 External Request",Sidewalk_or_Curb_Issues,"Sidewalk_or_Curb_Issues - Other"
341400,"CSR request to cancel. ","DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
341398,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341397,NULL,"DPW Ops Queue","Homeless Concerns","Medical Waste",Needles
341396,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341393,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341390,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
341388,"Duplicate of #340796 ","RPD Graffiti Queue","Rec and Park Requests","Park - Structural_Maintenance",Pavement
341384,NULL,"311 Escalated KB Questions Queue","General Request - 311CUSTOMERSERVICECENTER",other,"311CustomerServiceCenter - other"
341383,"see 341501 ","311 Supervisor Queue","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341382,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
341381,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341379,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341374,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341373,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG & E","PG & E"
341372,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG & E","PG & E"
341371,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
341365,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341344,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341340,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
341339,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341338,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341336,NULL,"311 Supervisor Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341333,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
341331,NULL,"DPW Ops Queue","Sewer Issues",Flooding,On_street
341321,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341320,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
341317,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
341314,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341294,"Invalid Request per DPW ","311 Supervisor Queue","General Request - PUBLIC WORKS",customer_callback,"bsm - customer_callback"
341291,"mailed bc application ","DPH - Office of Vital Records - G","General Request - DPH",mailing_request,"ovr - mailing_request"
341262,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341254,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341252,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341245,NULL,"311 Supervisor Queue","Sewer Issues",Water_Main_Break,NA
341240,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
341237,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
341235,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
341232,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for AAA Construction Group Inc","AAA Construction Group Inc"
341226,NULL,"PUC - Water - G","General Request - PUC",request_for_service,"water - request_for_service"
341219,NULL,"311 Supervisor Queue","General Request - PUBLIC WORKS",request_for_service,"bsm - request_for_service"
341216,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",customer_callback,"bses - customer_callback"
341214,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
341211,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
341210,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
341209,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
341208,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
341194,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341184,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Hanging_limb
341179,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341178,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341177,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341175,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341167,"call her back an duty appraiser computer down and going to call her back case closed. ","Assessor - Admin","General Request - ASSESSOR RECORDER",customer_callback,"assessor - customer_callback"
341164,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341163,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341150,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Missed_Route_Mechanical_Sweeping,Missed_Route_Mechanical_Sweeping
341149,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341148,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341147,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341143,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
341142,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
341134,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
341126,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341123,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341121,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
341120,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341118,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341100,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
341099,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
341097,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341094,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341092,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341091,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341087,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341076,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341068,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341064,"DUPLICATE SR ","311 Supervisor Queue","Sidewalk or Curb",Public_Stairway_Defect,Public_Stairway_Defect
341055,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
341045,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341041,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341040,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
341037,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341036,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341033,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341031,NULL,"DPW Ops Queue",Encampments,"Encampment items",Clothing
341030,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341026,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Mail_box","Mail_box - Not_Offensive"
341025,NULL,"311 Supervisor Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Not_Offensive"
341024,"streets given dont cross 12-30-08 @1020 #273 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Car2door","Grey - Toyoto - Tacoma - 8R93382"
341022,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Auto_accident_debris
341018,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
341015,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
341008,NULL,"311 Escalated KB Questions Queue","General Request - 311CUSTOMERSERVICECENTER",request_for_service,"311CustomerServiceCenter - request_for_service"
341005,"CREATED NEW SR FOR STAIR DEFECT. SR# 341064 ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
341001,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341000,"dup per agent ","Housing Authority SR Queue","SFHA Requests",Plumbing,"Plumbing - Urgent"
340990,"#235 12-30-08 @0800 ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","none - motorcycle  - none - none"
340989,NULL,"311 Escalated KB Questions Queue","General Request - 311CUSTOMERSERVICECENTER",complaint,"311CustomerServiceCenter - complaint"
340979,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
340976,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
340974,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340972,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
340955,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
340943,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340942,NULL,"DPW Ops Queue","Illegal Postings","Illegal Postings - Multiple_Postings","Multiple_Postings on Building_Private"
340939,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340925,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340923,NULL,"DPW BSM Queue","Damaged Property","Damaged News_Rack",News_Rack
340920,"See Notes.  ","DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
340918,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Liquids - Oil/Paint/Other"
340910,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
340904,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
340903,"already reported to DTIS ","DPT Signal Queue","Damaged Property","Damaged Traffic_Signal",Traffic_Signal
340899,"NOT VALID NOT ENOUGH INFO. ","311 Supervisor Queue","General Request - PUBLIC WORKS",complaint,"bses - complaint"
340883,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_in_front_of_property","Sidewalk_in_front_of_property - Not_Offensive"
340879,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340878,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_in_front_of_property","Sidewalk_in_front_of_property - Not_Offensive"
340877,NULL,"DPW Ops Queue","Homeless Concerns","Human Waste","Human Waste"
340875,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
340874,"not enough info ","DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","DPT Abandoned Vehicles Low"
340872,NULL,"DPW BSM Queue",Graffiti,"Graffiti on News_rack","News_rack - Not_Offensive"
340867,NULL,"DPT Abandoned Vehicles Work Queue","Abandoned Vehicle","Abandoned Vehicle - Other","DPT Abandoned Vehicles Low"
340864,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
340863,"INVALID WE DO NOT TAKE REQUEST FOR USPS ","311 Service Request Queue","311 External Request",Graffiti,NULL
340862,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
340861,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
340858,"CANCELLED THIS REQUEST RESUBMITTED NEW SR341234 ","311 Service Request Queue","311 External Request",Graffiti,"Graffiti - Other"
340850,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
340848,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
