CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
259969,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
260137,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Shrubbery_blocking_visibility
260228,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Restake_tree
260648,NULL,"DPW BUF Queue","Tree Maintenance","Trees - Landscaping",Shrubbery_blocking_visibility
260802,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
261174,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
261222,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
261261,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
261335,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_street_lights
261357,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
261416,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",About_to_fall
261918,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Restake_tree
262342,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Shrubbery_blocking_visibility
262563,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Property_damage
262631,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Other
262979,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",About_to_fall
262989,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Empty_tree_basin
263608,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
263617,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
264101,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
264275,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
264307,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
264558,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
264608,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Near_communication_line
264720,"Branch has since reopened.",""Library"," Public - G"","General Request - LIBRARY PUBLIC",request_for_service
265443,Completed,"Housing Authority SR Queue","SFHA Requests",Custodian,"Custodian - Urgent"
265978,NULL,"DPW Ops Queue","Sewer Issues",Flooding,On_street
266499,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Shrubbery_blocking_visibility
267562,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
268374,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
268410,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
269080,NULL,"DPW BUF Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
269361,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
269441,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
269469,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Damage_vandalism
269489,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
269587,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
269996,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Not_Offensive"
270707,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
270762,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
270926,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
271116,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
271168,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
271172,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
271199,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
271250,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Hitting_window_or_building
272044,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
272246,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
272522,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
272832,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Damage_vandalism
274428,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
274723,NULL,"DPW Ops Queue","Sewer Issues",Flooding,On_street
274887,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
275224,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",About_to_fall
276948,NULL,"zzDPW Work Queue - DO NOT USE","Tree Maintenance","Trees - Damaged_Tree",Hanging_limb
277020,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
277465,NULL,"zzDPW Work Queue - DO NOT USE","Street and Sidewalk Cleaning","Bulky Items",Furniture
277777,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
277819,NULL,"zzDPW Work Queue - DO NOT USE","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
277985,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Restake_tree
278716,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
279398,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
280550,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
280613,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
280682,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
280706,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
280753,NULL,"zzDPW Work Queue - DO NOT USE","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
281626,NULL,"zzDPW Work Queue - DO NOT USE","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
281889,NULL,"DPW BUF Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
282080,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
282453,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
282481,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Empty_tree_basin
282587,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
282640,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
282880,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
283109,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
283391,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
2914779,"Per process - cases are closed 60 days after assignment.","DPT Color Curb Queue","Color Curb","Red Color Curb Request for","Red Color Curb Request for"
4080822,"Cracked damaged sidewalk squares - Sent notice to owner NTR: 1018054","DPW BSM Queue","Sidewalk or Curb",Sidewalk_Defect,Collapsed_sidewalk
283528,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Other
283700,NULL,"DPW Ops Queue","Litter Receptacles",Removal_From_Location,Removal_From_Location
283827,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
284103,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
284104,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Other
284147,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Other
284474,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Not_Offensive"
284695,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
284696,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
285214,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
285392,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
285504,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
286614,NULL,"Real Estate Department - G","General Request - REAL ESTATE DEPARTMENT",customer_callback,"real_estate_department - customer_callback"
288405,Completed,"Housing Authority SR Queue","SFHA Requests",Laborer,"Laborer - Routine"
288741,NULL,"zzDPW Work Queue - DO NOT USE","Litter Receptacles",Cans_Left_Out_24x7,Cans_Left_Out_24x7
288772,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Damage_vandalism
